PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,WAS,25,76,31,45,37.6,26,9.4,19.8,47.6,2.6,7.4,35.4,4.5,5.6,81.1,1.1,4,5.1,5.5,2.8,1.5,0.7,2.9,44.3,11,2,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,NOP,26,56,25,31,33,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12,3.9,2,1.6,2.4,2.4,56.1,37,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,CHA,28,74,35,39,34.9,25.2,8.7,20.5,42.6,3.2,9,35.4,4.5,5.4,83.7,0.7,3.8,4.5,5.9,2.6,1.3,0.4,1.7,42,10,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,DET,30,71,37,34,35.3,24.7,8.4,18,46.3,2.5,6.9,35.7,5.5,7.4,74.9,1.4,6.3,7.6,5.5,3.5,0.7,0.4,2.7,41.8,20,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,MIN,23,71,31,40,33.1,24.7,8.9,17.1,52.1,2,4.8,41.2,4.8,5.8,83.7,3.5,9.1,12.5,3.3,3,0.9,1.6,3.8,49.3,50,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,BOS,27,62,33,29,33.1,23.8,9.1,18.5,49,2.5,6.4,39.8,3.2,3.6,86.7,1.1,4,5.1,7.1,2.6,1.5,0.5,2.4,44.3,21,1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach LaVine,CHI,24,63,16,47,34.5,23.7,8.4,18,46.7,1.9,5.1,37.4,5,6,83.2,0.6,4,4.7,4.5,3.4,1,0.4,2.2,36.7,2,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,UTA,22,71,44,27,33.6,23.3,8.5,19.8,42.8,2.4,6.8,35,3.9,4.9,79.4,0.8,3.3,4.1,4.1,2.9,1.4,0.4,2.7,36.7,1,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,OKC,30,66,39,27,35.9,22.9,8.6,20.2,42.5,1.6,5.5,28.7,4.1,6.3,65.2,1.4,9.6,11,10.4,4.6,2,0.5,3.4,54.6,51,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,GSW,29,71,50,21,34.4,22.1,8.6,18.4,46.9,3.1,7.8,40.1,1.8,2.2,81.8,0.5,3.5,4,2.4,1.5,1.1,0.6,2.1,34.3,0,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,SAS,29,70,39,31,35.2,21.5,8.3,17.6,47.4,0.1,0.6,15.9,4.7,5.7,82.6,0.7,5.5,6.2,6.2,2.6,1.1,0.5,2.3,40.3,12,1,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,SAS,33,74,43,31,33.2,21.3,8.4,16.3,51.7,0.1,0.5,27.8,4.4,5.1,85.4,3,6,9.1,2.5,1.9,0.5,1.3,2.2,39.5,28,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ McCollum,POR,27,68,41,27,34.1,21.3,8.3,17.9,46.3,2.4,6.4,38,2.3,2.8,83.1,0.9,3.2,4,2.9,1.5,0.8,0.4,2.4,32.6,1,1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,NOP,28,67,30,37,35.8,21.2,8.2,17.3,47.2,1.8,5.4,32.5,3.1,4,76.8,1.1,3.9,5,7.7,3.1,1.6,0.8,2.2,42.9,18,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Doncic,DAL,20,69,27,42,32.2,21.1,7,16.4,42.6,2.3,7.1,32.7,4.8,6.8,70.9,1.1,6.5,7.6,5.9,3.4,1.1,0.3,1.9,40,22,7,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Randle,NOP,24,69,30,39,30.5,21,7.7,14.7,52.2,0.9,2.6,33,4.8,6.6,73,2.2,6.4,8.6,3.1,2.8,0.7,0.6,3.4,37.3,28,1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,MEM,31,69,29,40,33.4,20.9,7,16,43.6,2.2,6.1,36.4,4.8,5.7,84.7,0.6,2.8,3.4,6.4,1.9,1.3,0.3,1.7,37.8,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,BKN,23,74,38,36,30.3,20.9,8.1,18.6,43.3,2.8,7.8,36.2,2,2.5,78.1,0.6,3.1,3.7,7,3.1,1.2,0.3,1.7,37.3,11,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,ORL,28,74,37,37,31.4,20.8,8.8,16.9,52,1.1,2.9,36.8,2.2,2.8,79,2.8,9.3,12.1,3.9,1.9,1,1.2,1.9,45.9,55,1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Hield,SAC,26,74,37,37,32.1,20.8,7.6,16.7,45.6,3.4,7.9,43.1,2.1,2.4,88.3,1.4,3.8,5.2,2.5,1.9,0.7,0.4,2.6,32.1,3,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
John Wall,WAS,28,32,11,21,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,PHI,26,75,43,32,34.9,20.4,7.6,15.3,49.5,2,4.8,41.3,3.3,3.8,87,0.8,7.1,7.9,2.7,1.9,0.7,0.5,2.3,35.5,15,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou Williams,LAC,32,69,44,25,26.7,20.3,6.6,15.4,42.8,1.4,4,35.5,5.7,6.5,87.8,0.5,2.4,3,5.3,2.4,0.8,0.1,1.1,32.1,7,1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,DEN,24,72,49,23,31.5,20.3,7.7,15.2,50.5,1.1,3.5,32,3.8,4.6,83.1,2.9,7.9,10.8,7.5,3.1,1.3,0.7,2.8,47.4,51,12,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Gallinari,LAC,30,63,38,25,30.5,19.8,6,13.1,46.3,2.5,5.6,43.8,5.3,5.8,90.5,0.8,5.2,6,2.5,1.4,0.7,0.3,1.9,32.4,6,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,ATL,21,56,22,34,29.5,19.3,7.5,13.4,56.3,0.9,2.5,35.5,3.3,4.4,76.6,3.6,6.1,9.7,1.9,1.9,0.4,0.6,3.3,34.5,30,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,PHI,29,61,36,25,33.8,19.2,6.6,14.1,46.9,1,3,34.6,5,5.7,86.3,1.8,3.4,5.2,4.1,1.5,1.9,0.6,1.7,37.8,2,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Trae Young,ATL,20,75,27,48,30.8,18.9,6.4,15.3,41.9,2,5.9,33.7,4.1,5.1,82.1,0.7,2.8,3.6,7.9,3.9,0.8,0.2,1.7,34.2,27,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Oladipo,IND,26,36,25,11,31.9,18.8,6.9,16.3,42.3,2.1,6,34.3,2.9,3.9,73,0.6,5,5.6,5.2,2.3,1.7,0.3,2,36.9,5,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,CHI,21,52,16,36,32.3,18.7,6.6,15.3,43,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Kuzma,LAL,23,69,32,37,33.1,18.7,7.1,15.5,45.5,1.8,6,30.4,2.7,3.6,75.2,0.9,4.6,5.5,2.6,1.9,0.6,0.4,2.4,30.1,4,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,LAL,21,52,25,27,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,DEN,22,67,45,22,32.9,18.1,6.8,15.7,43.3,2,5.6,36.8,2.4,2.9,85,0.9,3.3,4.2,4.8,2.2,0.8,0.4,2.1,31.7,3,0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr.,DAL,27,65,14,51,31.6,18.1,6,15.3,39.3,2.5,7.3,34,3.6,4.2,84.1,0.5,2.9,3.4,2.4,1.6,0.8,0.1,2.2,27.1,2,0,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,IND,29,75,45,30,31.8,18,6.5,12.9,49.9,2.1,4.8,42.9,3,3.8,80.9,0.4,3.7,4.1,1.9,1.6,0.8,0,1.7,26.7,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,MIN,30,51,24,27,27.3,18,7.1,14.8,48.2,1.1,2.9,37,2.7,3.1,85.6,0.6,2.1,2.7,4.3,1.6,0.6,0.2,1.1,28.7,1,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Warren,PHX,25,43,10,33,31.6,18,6.9,14.2,48.6,1.8,4.2,42.8,2.3,2.9,81.5,0.7,3.3,4,1.5,1.2,1.2,0.7,2.8,29.4,0,0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,MIL,27,72,53,19,31.4,17.8,6.3,14.6,43.4,2.3,6.1,37.6,2.8,3.3,83.4,0.7,5.4,6.1,4.3,2.3,1,0.1,2.3,32.7,7,0,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,MIN,24,65,28,37,34.8,17.7,6.6,16.5,40.4,1.6,4.7,33.2,2.8,4.1,68.8,1.1,3.7,4.8,2.4,1.8,1,0.7,2,30.1,3,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Redick,PHI,34,70,46,24,31.4,17.6,5.8,13.4,43.1,3.1,7.9,39,2.9,3.3,89.9,0.3,2.1,2.4,2.7,1.3,0.4,0.2,1.7,25.1,1,0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,CLE,30,20,7,13,27.5,17.6,5,13.3,37.6,2.5,7,35.7,5.1,5.6,90.2,1.7,9.7,11.4,2.3,2,0.3,0.3,2.6,34,12,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,BKN,25,61,32,29,28.4,17.5,5.6,12.5,44.9,2,5.5,35.7,4.3,5.5,79.3,0.4,2.1,2.5,4.7,2.2,0.6,0.3,2.7,27.9,2,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,SAC,21,73,37,36,31.8,17.5,6.2,13.7,45.5,1.1,2.9,36.8,3.9,5.4,72.7,0.5,3.2,3.8,7.2,2.9,1.7,0.5,2.6,36.6,12,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,DET,25,71,36,35,33.2,17.3,7,13.4,52.4,0.1,0.5,13.5,3.1,5.2,59.8,5.3,10.1,15.4,1.3,2.1,1.6,1.6,3.4,45.3,62,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Simmons,PHI,22,72,47,25,34.5,17.1,6.9,12.2,56.8,0,0.1,0,3.3,5.4,60.5,2.2,6.8,9,7.8,3.5,1.4,0.8,2.6,42.6,40,10,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,CLE,26,74,18,56,27.4,17,6.6,14.6,44.7,1.8,5.6,32.6,2.1,2.4,84.4,1,2.4,3.4,2.4,1.7,0.7,0.2,1.4,25.6,1,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,SAC,26,69,32,37,33.1,16.9,5.8,13.7,42,2.3,6,39.2,3,3.7,83,0.8,4,4.7,1.5,1.3,0.7,0.2,1.7,26.1,4,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,TOR,24,74,52,22,32,16.8,6.5,11.8,54.9,0.9,2.5,35.6,3,3.8,78.2,1.6,5.4,6.9,3.1,1.9,1,0.7,3,32.7,16,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Richardson,MIA,25,72,35,37,35,16.7,5.8,14.2,41.2,2.3,6.3,35.7,2.8,3.2,86.1,0.8,2.9,3.6,4.1,1.6,1.1,0.5,2.8,30.3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Montrezl Harrell,LAC,25,75,45,30,26.5,16.6,6.7,10.8,61.7,0,0.2,13.3,3.2,5,64.1,2.3,4.4,6.7,1.9,1.6,0.9,1.4,3.2,32.6,17,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,HOU,24,60,38,22,33.9,16.5,7,11,64.1,0,0,0,2.4,3.9,63.2,4.5,8.1,12.5,1.4,1.5,0.7,1.5,2.6,38.8,39,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Sexton,CLE,20,75,19,56,31.3,16.3,6.1,14.4,42.6,1.4,3.4,41.3,2.6,3.1,83.9,0.7,2.3,3,2.8,2.2,0.5,0.1,2.3,23.8,1,0,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,PHX,20,70,17,53,30.8,16.3,7.2,12.3,58.4,0,0.1,0,2,2.6,74.6,3.1,7.1,10.2,1.8,1.7,0.9,0.9,3,34.9,38,0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gordon,HOU,30,61,38,23,32.2,16.2,5.6,14.1,40.1,3,8.7,34.5,1.9,2.4,78.2,0.3,2,2.3,2,1.4,0.6,0.4,2.2,23.6,0,0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,BOS,21,73,44,29,31.3,16,6,13.3,45.1,1.5,4,36.3,2.5,2.9,86.9,0.9,5.2,6.2,2.1,1.5,1.1,0.8,2.2,30.4,8,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Cousins,GSW,28,24,18,6,25.9,15.9,5.8,12,48.4,0.8,2.9,25.7,3.6,4.7,76.1,1.4,6.6,8,3.7,2.4,1.3,1.5,3.7,37.2,7,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,ORL,23,71,35,36,33.7,15.9,6,13.5,44,1.5,4.5,34.3,2.4,3.3,72.8,1.6,5.7,7.4,3.6,2,0.7,0.7,2.2,32.4,17,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Bledsoe,MIL,29,73,55,18,29.4,15.8,6,12.5,48,1.5,4.8,32.1,2.3,3,74.7,1.1,3.6,4.7,5.5,2.1,1.5,0.4,2,33,7,1,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,UTA,26,75,45,30,31.5,15.7,5.8,8.7,66.8,0,0,0,4.1,6.4,63.8,3.9,9,12.8,2,1.6,0.8,2.2,2.8,41.7,60,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,HOU,33,51,33,18,32.5,15.6,5.2,12.4,41.7,2.1,6.1,35,3.2,3.7,86.3,0.7,4,4.6,8.2,2.7,1.9,0.3,2.6,37.4,17,1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Brogdon,MIL,26,64,49,15,28.6,15.6,5.9,11.7,50.5,1.6,3.8,42.6,2.2,2.4,92.8,1,3.5,4.5,3.2,1.4,0.7,0.2,1.6,27.2,0,0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,POR,24,72,45,27,27.4,15.6,5.8,11.5,50.8,0,0.4,10.3,3.9,5.1,77.3,3.4,7,10.4,3.2,2.3,1,1.4,3.5,37.9,36,1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Schroder,OKC,25,72,42,30,29.1,15.5,5.8,14.1,41.2,1.5,4.5,33.7,2.4,2.9,81,0.5,3.1,3.6,4.2,2.2,0.8,0.2,2.3,26.7,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,DET,28,74,37,37,28.2,15.4,5.4,12.6,42.6,2.1,5.8,37.1,2.5,2.9,86.9,0.5,2,2.6,4.2,1.7,0.7,0.1,2.6,25.4,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Valanciunas,MEM,26,47,30,17,22.1,15.3,6,10.7,56.4,0.3,1,30.4,3,3.8,79.1,2,6.4,8.3,1.4,1.7,0.3,1.1,3,29.8,15,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Oubre Jr.,PHX,23,69,21,48,28,15.2,5.4,12.2,44.5,1.6,4.9,32,2.7,3.5,77.5,1,3.7,4.7,1.2,1.5,1.2,0.9,2.6,27.4,3,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Mirotic,MIL,28,46,24,22,27.1,15.2,5.2,11.8,43.9,2.5,6.9,36.5,2.3,2.7,84.7,1.3,6.1,7.4,1.2,1,0.7,0.7,2.3,29,11,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,CHA,26,71,34,37,28.7,15.1,5.4,12.4,43.6,1.4,4.2,34.5,2.8,3.2,88.4,0.8,4.8,5.6,2.1,1.1,1,0.4,1.8,28.3,7,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Fournier,ORL,26,74,37,37,31.5,14.9,5.6,13.1,43.1,2,5.7,34.4,1.6,2,81.1,0.5,2.7,3.2,3.7,2,0.9,0.1,2.9,25.4,1,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,TOR,29,68,48,20,27.6,14.8,6.1,11.7,52.4,0.6,2.3,26.6,1.9,2.5,77.6,2.1,5.9,8,1.4,1.5,0.4,1.4,2.9,30.4,18,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Mudiay,NYK,23,55,12,43,26.7,14.7,5.6,12.4,45.5,1.2,3.5,33.5,2.3,2.9,77.5,0.5,2.7,3.2,3.8,2.3,0.7,0.3,1.7,25.1,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lowry,TOR,33,59,42,17,34.2,14.7,4.8,11.5,42,2.5,7,35.7,2.5,3,83,0.6,4.1,4.7,8.9,2.9,1.3,0.5,2.5,36.3,19,2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Bagley III,SAC,20,55,29,26,24.9,14.7,5.6,10.7,52.1,0.4,1.4,30.8,3,4.3,69.9,2.5,4.8,7.3,1,1.6,0.6,1,2,28,16,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,WAS,24,61,17,44,27.1,14.6,5.8,11.7,49.6,1,3,31.7,2,2.8,72.5,1.2,5.4,6.7,2.4,2.4,0.7,0.4,2.2,27.3,8,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Ross,ORL,28,74,37,37,26.5,14.6,5.3,12.6,42.3,2.6,6.8,37.5,1.4,1.6,85.1,0.3,3.2,3.5,1.6,1.1,0.9,0.4,1.5,23.8,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,MIA,37,64,32,32,25.6,14.4,5.6,12.8,43.8,1.1,3.4,32.9,2.1,3.1,67.8,0.9,2.9,3.8,4.1,2.3,0.8,0.5,1.6,27,3,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,BOS,29,70,41,29,28,14.2,5.2,11.3,45.6,2,5.2,37.8,1.9,2.2,83.4,1,5.2,6.2,1.5,1.3,0.6,0.3,2.4,25.2,5,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,WAS,24,44,13,31,25.7,14.1,5.5,12.3,45,1.4,3.6,39.9,1.6,2.1,78,2.1,5.7,7.8,1.4,1.5,0.6,0.4,3,27.1,11,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,IND,22,68,41,27,24.8,14.1,5.5,9.4,58.8,0.1,0.2,53.3,2.9,4.1,71.4,2.5,6.8,9.3,2.8,2.1,0.7,0.4,3.3,30.7,27,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,OKC,25,73,42,31,33.7,14,6.1,10.1,59.8,0,0,0,1.9,3.7,51.6,4.8,4.7,9.5,1.6,1.7,1.6,0.9,2.6,33.5,27,0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,SAC,26,62,30,32,27.9,14,5.1,12.4,41.2,1.8,5.3,34.8,1.9,2.4,82.2,0.5,3,3.5,3.8,1.7,1.1,0.2,2.2,26.1,1,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Gasol,TOR,34,72,33,39,31.2,14,5.2,11.5,44.9,1.2,3.5,35,2.5,3.2,76,1,7,8,4.4,2.1,1.1,1.2,2.7,35,19,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gay,SAS,32,62,37,25,26.9,14,5.6,10.9,51,1.1,2.7,41.6,1.8,2.1,82.6,0.9,5.7,6.6,2.6,1.6,0.8,0.5,2.4,28.4,9,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,MIA,32,28,13,15,25.8,13.9,5,11.8,42.2,1.7,4.7,36.6,2.3,2.9,78,0.3,2.4,2.8,4.1,1.9,0.6,0.1,2.3,23.7,2,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Porter Jr.,CHI,25,56,25,31,30.1,13.9,5.3,11.5,46.5,1.9,4.6,40.6,1.4,1.7,81.3,1,4.6,5.6,2.1,1.2,1.5,0.6,1.9,28.8,6,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr.,MEM,19,58,23,35,26.1,13.8,5.1,10.2,50.6,0.9,2.4,35.9,2.6,3.4,76.6,1.3,3.4,4.7,1.1,1.7,0.9,1.4,3.8,26.3,2,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Smith Jr.,NYK,21,49,19,30,28.8,13.5,5.2,12,43.1,1.2,3.8,32.6,1.9,3,63.5,0.6,2.3,2.9,4.9,2.9,1.3,0.4,2.6,26.6,2,1,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Harris,BKN,27,70,38,32,29.9,13.5,4.9,9.8,49.7,2.3,5,46.6,1.5,1.8,83.2,0.7,3,3.7,2.4,1.6,0.5,0.2,2.4,22.2,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurean Prince,ATL,25,51,18,33,28.1,13.4,4.7,10.5,44.8,2.2,5.6,39.4,1.7,2,84.3,0.4,3.3,3.7,2.2,1.9,1,0.4,2.5,23.2,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,OKC,25,73,43,30,32.5,13.3,5,10,49.9,1.3,3.4,39,2,2.8,70.9,1.2,4.1,5.3,1,0.8,0.8,1.3,2.7,26.6,4,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Harris,DEN,24,48,34,14,28.7,13.3,4.8,11.3,43,1.5,4.3,35.1,2.1,2.7,79.7,0.8,2.2,3,2.4,1.2,0.9,0.4,2,23.1,0,0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,32,63,37,26,28.8,13.3,5.6,10.5,53.1,1.1,3.1,35.6,1.1,1.3,81,1.8,4.9,6.7,4.1,1.5,0.9,1.3,1.9,32.4,9,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,MIN,28,35,20,15,34.4,13.3,4.5,10.3,43.1,2.4,6.4,37.8,1.9,2.5,76.4,0.8,4.7,5.5,1.3,1.3,2.1,1.3,3.6,30.9,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Turner,IND,23,68,41,27,28.6,13.2,5.2,10.7,48.3,1,2.6,37.7,1.9,2.6,72.6,1.4,5.8,7.1,1.6,1.4,0.8,2.8,2.7,33.4,15,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
